"Region","Species","Conservation.Unit","Current.Spawner.Abundance","Years","Years.of.Data","Percentile","SR","Probability.of.Red.Status","Probability.of.Amber.Status","Probability.of.Green.Status","WSP","WSP.Year","COSEWIC","COSEWIC.Year","Province","Province.Year","S25","S50","Sgen","Smsy"
"Vancouver Island & Mainland Inlets","Chum","Northeast Vancouver Island","9,763","2015-2018","66","poor"," "," "," "," "," "," "," "," "," "," ","15,642 (9,845 - 21,367)","29,178 (20,610 - 47,501)"," ",""
"Vancouver Island & Mainland Inlets","Chum","Northwest Vancouver Island","74,201","2012-2015","63","good","good","0%","0%","10000%"," "," "," "," "," "," ","24,811 (20,664 - 31,906)","43,325 (31,375 - 55,828)","10,950 (8,479 - 12,592)","19,241 (15,815 - 22,830)"
"Vancouver Island & Mainland Inlets","Chum","Southern Coastal Streams","2,602","2015-2018","66","fair"," "," "," "," "," "," "," "," "," "," ","1,912 (1,048 - 5,117)","6,710 (3,071 - 11,352)"," ",""
"Vancouver Island & Mainland Inlets","Chum","Southwest & West Vancouver Island","180,277","2012-2015","63","poor","good","0%","0%","10000%"," "," "," "," "," "," ","204,064 (164,656 - 255,476)","296,538 (251,898 - 329,336)","59,494 (48,448 - 72,156)","119,219 (100,215 - 138,360)"
"Vancouver Island & Mainland Inlets","Chum","Upper Knight","2,709","2000-2003","44","fair"," "," "," "," "," "," "," "," "," "," ","1,114 (808 - 4,409)","4,496 (3,740 - 11,152)"," ",""
"Vancouver Island & Mainland Inlets","Coho","Clayoquot"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Coho","East Vancouver Island-Georgia Strait"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Coho","Georgia Strait Mainland"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Coho","Homathko-Klinaklini Rivers"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Coho","Howe Sound-Burrard Inlet"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Coho","Juan de Fuca-Pachena"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Coho","Nahwitti Lowland"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Coho","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Coho","West Vancouver Island"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Alice"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Canoe Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Cecilia"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Cheewat"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Clayoquot"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Deserted"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Fairy"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Fulmore"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Great Central","96,155","2016-2020","44","poor","good","0%","3904.76%","6095.24%"," "," "," "," "," "," ","137,417 (97,705 - 158,978)","191,416 (151,245 - 220,302)","26,138 (18,001 - 35,828)","92,816 (79,707 - 109,461)"
"Vancouver Island & Mainland Inlets","Lake sockeye","Henderson"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Hesquiat"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Heydon"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Hobiton"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Ida-Bonanza"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Jansen"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Kakweiken"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Kanim"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Kennedy"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Loose"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Mackenzie"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Maggie"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Megin"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Muchalat"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Muriel"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Nahwitti"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Nimpkish","70,324","2013-2017","65","good","good","7.15%","4.77%","9988.08%"," "," "," "," "," "," ","30,029 (22,025 - 43,676)","60,000 (38,628 - 70,994)","17,902 (11,335 - 30,614)","24,372 (14,940 - 39,298)"
"Vancouver Island & Mainland Inlets","Lake sockeye","Nitinat"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","O'Connell"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Park River"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Phillips"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Power"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Quatse"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Sakinaw","73","2014-2018","32","poor"," "," "," "," "," "," ","Endangered","2012"," "," ","210 (104 - 781)","1,200 (427 - 2,394)"," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Schoen"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Shushartie"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Sproat","179,943","2016-2020","44","good","good","0%","0%","10000%"," "," "," "," "," "," ","131,255 (100,151 - 162,025)","168,812 (140,444 - 221,807)","16,358 (12,000 - 24,464)","80,475 (68,327 - 93,095)"
"Vancouver Island & Mainland Inlets","Lake sockeye","Tzoonie"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Vernon"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","William-Brink"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Lake sockeye","Woss"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Pink (even)","Georgia Strait (even)","152,684","2018-2018","33","good","fair","442.86%","6511.9%","3045.24%"," "," "," "," "," "," ","29,276 (14,593 - 83,990)","103,876 (34,618 - 190,557)","83,115 (50,020 - 152,134)","163,098 (104,824 - 271,361)"
"Vancouver Island & Mainland Inlets","Pink (even)","Northwest Vancouver Island (even)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Pink (even)","Southern Fjords (even)","575,090","2018-2018","33","poor","fair","233.33%","9661.9%","104.76%"," "," "," "," "," "," ","596,537 (452,704 - 1,075,736)","1,139,634 (739,873 - 1,716,239)","311,445 (179,187 - 529,162)","723,660 (589,937 - 1,004,213)"
"Vancouver Island & Mainland Inlets","Pink (even)","West Vancouver Island (even)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Pink (odd)","East Howe Sound-Burrard Inlet (odd)","110,104","2019-2019","34","good","good","726.19%","4214.29%","5059.52%"," "," "," "," "," "," ","43,526 (22,892 - 69,244)","74,688 (44,586 - 130,671)","52,047 (22,818 - 121,832)","98,683 (54,873 - 212,666)"
"Vancouver Island & Mainland Inlets","Pink (odd)","East Vancouver Island-Johnstone Strait (odd)","108,129","2019-2019","34","good","good","88.1%","723.81%","9188.1%"," "," "," "," "," "," ","15,704 (8,373 - 49,021)","78,844 (24,273 - 133,416)","30,322 (13,455 - 70,047)","62,712 (35,698 - 126,444)"
"Vancouver Island & Mainland Inlets","Pink (odd)","Georgia Strait (odd)","1,296,234","2019-2019","34","good","good","26.19%","126.19%","9847.62%"," "," "," "," "," "," ","118,733 (63,663 - 353,217)","365,164 (117,668 - 698,841)","343,540 (179,380 - 706,302)","558,758 (352,850 - 1,097,842)"
"Vancouver Island & Mainland Inlets","Pink (odd)","Nahwitti (odd)","8,272","2019-2019","34","fair","poor","7868.54%","2090.97%","40.49%"," "," "," "," "," "," ","3,933 (2,057 - 10,330)","11,160 (4,544 - 24,120)","9,410 (5,463 - 17,681)","15,524 (9,396 - 28,280)"
"Vancouver Island & Mainland Inlets","Pink (odd)","Southern Fjords (odd)","8,383","2019-2019","34","poor","poor","10000%","0%","0%"," "," "," "," "," "," ","196,384 (100,085 - 294,092)","272,278 (214,018 - 480,406)","98,014 (56,796 - 180,190)","245,399 (198,672 - 350,985)"
"Vancouver Island & Mainland Inlets","Pink (odd)","West Vancouver Island (odd)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","River sockeye","East Vancouver Island & Georgia Strait (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","River sockeye","NW Vancouver Island (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","River sockeye","Southern Fjords (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","River sockeye","West Vancouver Island (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Steelhead","East Vancouver Island Summer","140","2014-2018","43","fair"," "," "," "," "," "," "," "," "," "," ","112 (82 - 148)","180 (131 - 215)"," ",""
"Vancouver Island & Mainland Inlets","Steelhead","East Vancouver Island Winter","213","2017-2021","23","poor"," "," "," "," "," "," "," "," "," "," ","260 (232 - 314)","362 (298 - 405)"," ",""
"Vancouver Island & Mainland Inlets","Steelhead","South Coast Summer"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Steelhead","South Coast Winter","518","2016-2020","24","good"," "," "," "," "," "," "," "," "," "," ","319 (211 - 367)","390 (344 - 496)"," ",""
"Vancouver Island & Mainland Inlets","Steelhead","West Vancouver Island Summer","275","2017-2021","35","poor"," "," "," "," "," "," "," "," "," "," ","512 (326 - 546)","704 (469 - 717)"," ",""
"Vancouver Island & Mainland Inlets","Steelhead","West Vancouver Island Winter"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Chinook","East Haida Gwaii"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Chinook","North Haida Gwaii","6,488","2002-2006","25","good"," "," "," "," "," "," "," "," "," "," ","2,250 (1,313 - 2,910)","3,000 (2,478 - 4,285)"," ",""
"Haida Gwaii","Chum","East Haida Gwaii","32,215","2017-2021","67","poor","poor","9959.52%","40.48%","0%"," "," "," "," "," "," ","107,288 (56,115 - 145,714)","172,969 (120,359 - 215,156)","60,114 (35,451 - 126,704)","110,026 (86,522 - 166,338)"
"Haida Gwaii","Chum","North Haida Gwaii","8,670","2015-2019","62","poor","poor","9861.9%","138.1%","0%"," "," "," "," "," "," ","17,988 (9,160 - 27,464)","41,636 (20,743 - 51,555)","13,622 (9,094 - 21,916)","25,605 (19,951 - 33,823)"
"Haida Gwaii","Chum","North Haida Gwaii-Stanley Creek","311","2006-2010","43","fair"," "," "," "," "," "," "," "," "," "," ","300 (116 - 520)","750 (435 - 1,477)"," ",""
"Haida Gwaii","Chum","Skidegate","47,349","2017-2021","68","poor","fair","1138.1%","8276.19%","585.71%"," "," "," "," "," "," ","55,324 (40,608 - 71,591)","80,872 (67,796 - 101,102)","32,310 (20,918 - 53,699)","54,307 (43,614 - 74,646)"
"Haida Gwaii","Chum","West Haida Gwaii","42,474","2017-2021","68","poor","fair","540.48%","9383.33%","76.19%"," "," "," "," "," "," ","64,860 (49,341 - 76,155)","87,667 (74,113 - 102,611)","29,396 (21,382 - 44,122)","51,868 (43,401 - 63,711)"
"Haida Gwaii","Coho","East Haida Gwaii","30,732","2019-2021","68","poor","fair","0%","9978.57%","21.43%"," "," "," "," "," "," ","47,249 (38,228 - 59,498)","65,204 (56,173 - 80,564)","18,537 (14,850 - 22,040)","37,497 (33,242 - 43,197)"
"Haida Gwaii","Coho","Haida Gwaii-Graham Island Lowlands","69,362","2017-2019","60","poor","good","0%","2023.81%","7976.19%"," "," "," "," "," "," ","69,454 (43,578 - 77,764)","106,524 (70,362 - 129,321)","30,653 (24,022 - 36,911)","63,315 (50,219 - 76,547)"
"Haida Gwaii","Coho","West Haida Gwaii","14,406","2018-2020","50","fair","good","0%","2580.95%","7419.05%"," "," "," "," "," "," ","11,808 (8,259 - 18,385)","25,148 (16,147 - 32,385)","7,160 (5,721 - 8,664)","13,379 (10,029 - 16,514)"
"Haida Gwaii","Lake sockeye","Ain-Skundale-Ian"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Lake sockeye","Awun","6,714","2017-2021","62","good","good","0%","0%","10000%"," "," "," "," "," "," ","2,100 (1,554 - 4,149)","5,100 (3,328 - 7,339)","1,340 (879 - 2,016)","2,919 (2,392 - 3,760)"
"Haida Gwaii","Lake sockeye","Fairfax"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Lake sockeye","Jalun"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Lake sockeye","Marian/Eden","2,249","2017-2021","60","poor","poor","9842.22%","45.42%","112.36%"," "," "," "," "," "," ","3,000 (1,953 - 5,098)","7,000 (4,353 - 10,454)","3,805 (2,124 - 7,743)","5,877 (2,306 - 10,675)"
"Haida Gwaii","Lake sockeye","Marie"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Lake sockeye","Mathers","2,241","2014-2016","28","good"," "," "," "," "," "," "," "," "," "," ","950 (551 - 1,301)","2,000 (1,068 - 2,335)"," ",""
"Haida Gwaii","Lake sockeye","Mercer","5,024","2014-2018","54","fair","good","0%","45.24%","9954.76%"," "," "," "," "," "," ","4,000 (2,801 - 4,849)","6,000 (4,512 - 7,393)","1,175 (675 - 2,246)","3,235 (2,725 - 4,204)"
"Haida Gwaii","Lake sockeye","Skidegate","11,184","2017-2021","67","fair","good","178.57%","2747.62%","7073.81%"," "," "," "," "," "," ","10,000 (6,310 - 14,055)","16,000 (11,804 - 22,270)","6,907 (4,476 - 10,180)","10,057 (7,758 - 13,486)"
"Haida Gwaii","Lake sockeye","Yakoun","4,952","2017-2021","63","poor","poor","6259.52%","3740.48%","0%"," "," "," "," "," "," ","7,000 (5,988 - 11,151)","14,000 (10,185 - 18,038)","5,078 (3,320 - 8,397)","8,217 (6,565 - 11,399)"
"Haida Gwaii","Pink (even)","East Haida Gwaii (even)","1,041,460","2020-2020","34","good","good","0%","0%","10000%"," "," "," "," "," "," ","463,736 (337,956 - 710,798)","756,746 (560,280 - 974,481)","140,537 (6,565 - 162,458)","622 (0 - 230,550)"
"Haida Gwaii","Pink (even)","North Haida Gwaii (even)","1,376,401","2020-2020","33","good","good","0%","0%","10000%"," "," "," "," "," "," ","429,222 (314,640 - 725,433)","724,076 (524,097 - 1,161,503)","180,447 (10,535 - 209,312)","2,856 (0 - 331,171)"
"Haida Gwaii","Pink (even)","West Haida Gwaii (even)","16,773","2020-2020","34","poor","poor","8279.41%","0%","1720.59%"," "," "," "," "," "," ","146,486 (45,521 - 175,892)","258,182 (99,371 - 294,770)","50,597 (3,343 - 61,368)","614 (0 - 90,497)"
"Haida Gwaii","Pink (odd)","East Haida Gwaii (odd)","38,954","2021-2021","34","fair","good","0%","0%","10000%"," "," "," "," "," "," ","24,225 (11,569 - 40,035)","48,234 (20,596 - 76,466)","11,749 (490 - 13,939)","15 (0 - 16,928)"
"Haida Gwaii","Pink (odd)","North Haida Gwaii (odd)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Pink (odd)","West Haida Gwaii (odd)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","River sockeye","East Haida Gwaii (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","River sockeye","North Haida Gwaii (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","River sockeye","West Haida Gwaii (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Steelhead","Haida Gwaii Winter"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Columbia","Chinook","Okanagan","29","2018-2022","17","good"," "," "," "," ","Red","2012","Endangered","2017"," "," ","11 (7 - 17)","23 (15 - 35)"," ",""
"Columbia","Lake sockeye","Osoyoos","32,451","2019-2022","62","good"," "," "," "," "," "," "," "," "," "," ","12,284 (8,478 - 16,842)","17,913 (15,493 - 28,809)"," ",""
"Columbia","Steelhead","Mid Columbia Summer","9","2019-2023","18","poor"," "," "," "," "," "," "," "," "," "," ","11 (9 - 16)","24 (14 - 26)"," ",""
"Yukon","Chinook","Big Salmon","12,009","2014-2019","35","good","good","0%","0%","10000%"," "," "," "," "," "," ","5,265 (4,574 - 6,271)","6,310 (6,060 - 8,599)","2,841 (2,244 - 3,729)","6,787 (5,657 - 8,209)"
"Yukon","Chinook","Middle Yukon","10,600","2014-2019","35","good","fair","0%","6790.48%","3209.52%"," "," "," "," "," "," ","6,362 (4,610 - 7,624)","8,243 (7,186 - 11,176)","5,056 (4,041 - 6,428)","11,128 (8,645 - 14,027)"
"Yukon","Chinook","Nordenskiold"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chinook","Northern Yukon","7,395","2014-2019","35","good","good","0%","661.9%","9338.1%"," "," "," "," "," "," ","4,060 (2,811 - 5,474)","7,327 (5,194 - 9,139)","2,421 (1,705 - 3,092)","6,245 (4,836 - 7,617)"
"Yukon","Chinook","Old Crow"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chinook","Pelly","8,559","2014-2019","35","good","good","0%","0%","10000%"," "," "," "," "," "," ","6,126 (5,092 - 6,544)","7,526 (7,062 - 8,394)","2,302 (1,756 - 2,958)","5,555 (4,698 - 6,487)"
"Yukon","Chinook","Porcupine"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chinook","Salmon Fork"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chinook","Stewart","3,833","2014-2019","35","good","good","0%","2021.43%","7978.57%"," "," "," "," "," "," ","2,504 (2,120 - 3,059)","3,546 (2,911 - 4,158)","1,915 (1,473 - 2,329)","3,451 (2,772 - 4,295)"
"Yukon","Chinook","Teslin","6,935","2014-2019","35","good","good","0%","0%","10000%"," "," "," "," "," "," ","4,339 (3,863 - 5,169)","6,449 (5,562 - 6,844)","2,086 (1,545 - 2,615)","4,750 (3,968 - 5,528)"
"Yukon","Chinook","Upper Yukon","3,835","2014-2019","35","good","fair","0%","9045.24%","954.76%"," "," "," "," "," "," ","2,275 (1,444 - 2,684)","3,405 (2,541 - 4,369)","1,968 (1,507 - 2,595)","4,511 (3,404 - 5,882)"
"Yukon","Chinook","White","6,701","2014-2019","35","good","good","0%","0%","10000%"," "," "," "," "," "," ","3,307 (2,935 - 3,973)","4,770 (4,021 - 5,629)","1,727 (1,315 - 2,220)","3,980 (3,196 - 4,722)"
"Yukon","Chum","Donjek Kluane"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","Middle Yukon"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","North Yukon"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","Porcupine"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","Stewart"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","Teslin"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","White"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Coho","Porcupine"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Alsek","4,951","2019-2023","48","poor"," "," "," "," "," "," "," "," "," "," ","5,210 (3,096 - 7,120)","6,842 (4,595 - 10,320)"," ",""
"Northern Transboundary","Chinook","Lynn Canal"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Stikine-Early Timing"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Stikine-Late Timing"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Taku-Early Timing"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Taku-Late Timing"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Taku-Mid Timing"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Unuk"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Whiting"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Lower Stikine"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Lynn Canal"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Taku"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Unuk"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Whiting"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Alsek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Lower Stikine"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Lynn Canal"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Taku-Early Timing"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Taku-Late Timing"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Taku-Mid Timing"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Unuk"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Whiting"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","Blanchard"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","Border"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","Christina"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","Chutine"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","King Salmon","7,532","2020-2023","20","good"," "," "," "," "," "," "," "," "," "," ","1,012 (392 - 2,636)","2,682 (1,187 - 3,878)"," ",""
"Northern Transboundary","Lake sockeye","Klukshu","15,297","2019-2023","48","good"," "," "," "," "," "," "," "," "," "," ","7,852 (5,789 - 11,572)","13,635 (9,995 - 17,058)"," ",""
"Northern Transboundary","Lake sockeye","Kuthai","388","2019-2023","34","poor"," "," "," "," "," "," "," "," "," "," ","656 (184 - 1,475)","1,562 (765 - 3,064)"," ",""
"Northern Transboundary","Lake sockeye","Little Trapper","8,358","2019-2023","41","fair"," "," "," "," "," "," "," "," "," "," ","6,376 (4,924 - 8,596)","9,522 (7,036 - 11,902)"," ",""
"Northern Transboundary","Lake sockeye","Nesketahin","388","2019-2023","35","poor"," "," "," "," "," "," "," "," "," "," ","422 (210 - 1,034)","1,490 (594 - 2,051)"," ",""
"Northern Transboundary","Lake sockeye","Tahltan","10,746","2019-2023","30","fair"," "," "," "," "," "," "," "," "," "," ","9,305 (7,583 - 10,858)","12,674 (10,508 - 17,479)"," ",""
"Northern Transboundary","Lake sockeye","Tatsamenie","5,153","2019-2023","29","good"," "," "," "," "," "," "," "," "," "," ","1,937 (1,201 - 3,173)","4,628 (2,353 - 6,153)"," ",""
"Northern Transboundary","Lake sockeye","Whiting"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Pink (even)","Transboundary Fjords (even)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
