"region","species_name","cuid","cu_name_pse","exp","curr_spw","curr_spw_start_year","curr_spw_end_year","cu_enh_rank","psf_status","cosewic_status","cosewic_status_yr","wsp_status","wsp_status_yr","rollup_hi_pct","rollup_mod_pct","rollup_lo_pct"
"Central Coast","Lake sockeye",589,"Ryan Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",590,"Salter",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",591,"Scoular/Kilpatrick",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",592,"Sheneeza Inlet",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",593,"Ship Point Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",594,"Spencer Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",595,"Stannard Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",596,"Talamoosa Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",597,"Tankeeah River",0,2000,2017,2021,"High","poor",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",598,"Treneman Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",599,"Tsimtack/Moore/Roger",0.01,1900,2017,2021,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",600,"Tuno Creek East",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",601,"Tuno Creek West",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",602,"Tyler Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",603,"Wale Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",604,"Watt Bay",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",605,"West Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",606,"Yaaklele Lagoon",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",607,"Yeo",0,735,2017,2021,"None","good",NA,NA,NA,NA,1,NA,NA
"Central Coast","Pink (even)",608,"Hecate Lowlands (even)",0.09,449484,2020,2021,"None","fair",NA,NA,NA,NA,0.0432670144628312,0.159447466805978,0.797285518731191
"Central Coast","Pink (even)",609,"Hecate Strait-Fjords (even)",0.1,11874814,2020,2021,"None","good",NA,NA,NA,NA,0.153642969970622,0.377439298451517,0.46891773157786
"Central Coast","Pink (odd)",610,"Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)",0,461427,2020,2021,"Low","poor",NA,NA,NA,NA,0.387651567702331,0.504807289904924,0.107541142392745
"Central Coast","Pink (odd)",611,"Hecate Strait-Lowlands (odd)",0,614739,2020,2021,"None","good",NA,NA,NA,NA,0.0532910276634986,0.15757701467294,0.789131957663561
"Central Coast","Pink (odd)",612,"Hecate Strait-Fjords (odd)",0,1295152,2020,2021,"None","good",NA,NA,NA,NA,0.126726217362729,0.309809380158295,0.563464402478974
"Central Coast","River sockeye",613,"Rivers-Smith Inlets (river-type)",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,0.775013625730427,0.224986374269573
"Central Coast","River sockeye",614,"Northern Coastal Fjords (river-type)",0.01,2318,2018,2021,"None","poor",NA,NA,NA,NA,0.177910272799636,0.223332268697717,0.598757458502647
"Central Coast","River sockeye",615,"Northern Coastal Streams (river-type)",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,0.0204704409874578,0.300227926980697,0.679301632031845
"Fraser","Chum",701,"Lower Fraser",NA,NA,NA,NA,"Moderate","data-deficient",NA,NA,NA,NA,0.667211995706104,0.208498825843694,0.124289178450201
"Fraser","Coho",704,"Lillooet",NA,NA,NA,NA,"Moderate","data-deficient",NA,NA,NA,NA,0.224479752859405,0.49413896978045,0.281381277360146
"Fraser","Coho",705,"Fraser Canyon",NA,NA,NA,NA,"Moderate","data-deficient","Threatened",2015,"Amber",2011,0.60563615137244,0.166934021554092,0.227429827073468
"Fraser","Coho",707,"Lower Thompson",NA,NA,NA,NA,"Moderate","data-deficient","Threatened",2015,"Amber_green",2011,0.649541199253261,0.275259665666413,0.0751991350803253
"Fraser","Coho",708,"South Thompson",NA,NA,NA,NA,"Moderate","data-deficient","Threatened",2015,"Amber",2011,0.494856233628854,0.369304735227425,0.135839031143722
"Fraser","Coho",709,"North Thompson",NA,NA,NA,NA,"Moderate","data-deficient","Threatened",2015,"Amber_green",2011,0.655203122275647,0.262475175429004,0.0823217022953493
"Fraser","Pink (odd)",710,"Fraser River (odd)",0.04,8313181,2021,2021,"Moderate","good",NA,NA,NA,NA,0.593246474159795,0.293123597706297,0.113629928133909
"Fraser","Lake sockeye",711,"Chilliwack-Early Summer (cyclic)",NA,NA,NA,NA,"None","data-deficient","Not at risk",2015,"Amber_green",2014,0.206646214735822,0.669867305410407,0.123486479853771
"Fraser","Lake sockeye",712,"Cultus-Late",NA,NA,NA,NA,"High","data-deficient","Endangered",2015,"Red",2014,0.824732558986415,0.175267441013585,NA
