"Region","Species","Species.Qualified","Conservation.Unit","CUID","Full.CU.Index"
"East Vancouver Island & Mainland Inlets","Chinook","CK","Southern Mainland-Georgia Strait (Fall x-1)",320,"CK-20"
"East Vancouver Island & Mainland Inlets","Chinook","CK","East Vancouver Island-Goldstream (Fall x-1)",321,"CK-21"
"East Vancouver Island & Mainland Inlets","Chinook","CK","East Vancouver Island-Cowichan and Koksilah (Fall x-1)",322,"CK-22"
"East Vancouver Island & Mainland Inlets","Chinook","CK","East Vancouver Island-Nanaimo (Spring x-2)",323,"CK-23"
"East Vancouver Island & Mainland Inlets","Chinook","CK","East Vancouver Island-Nanaimo and Chemainus (Fall x-1)",324,"CK-25"
"East Vancouver Island & Mainland Inlets","Chinook","CK","East Vancouver Island-Qualicum and Puntledge (Fall x-1)",325,"CK-27"
"East Vancouver Island & Mainland Inlets","Chinook","CK","Southern Mainland-Southern Fjords (Fall x-1)",326,"CK-28"
"East Vancouver Island & Mainland Inlets","Chinook","CK","East Vancouver Island-North (Fall x-1)",327,"CK-29"
"East Vancouver Island & Mainland Inlets","Chinook","CK","Homathko (Summer x-x)",331,"CK-34"
"East Vancouver Island & Mainland Inlets","Chinook","CK","Klinaklini (Summer 5-2)",332,"CK-35"
"East Vancouver Island & Mainland Inlets","Chinook","CK","East Vancouver Island-Georgia Strait (Summer 4-1)",334,"CK-83"
"East Vancouver Island & Mainland Inlets","Coho","CO","East Vancouver Island-Georgia Strait",910,"CO-13"
"East Vancouver Island & Mainland Inlets","Coho","CO","East Vancouver Island-Johnstone Strait-Southern Fjords",911,"CO-14"
"East Vancouver Island & Mainland Inlets","Coho","CO","Georgia Strait Mainland",908,"CO-11"
"East Vancouver Island & Mainland Inlets","Coho","CO","Homathko-Klinaklini Rivers",916,"CO-19"
"East Vancouver Island & Mainland Inlets","Coho","CO","Howe Sound-Burrard Inlet",907,"CO-10"
"East Vancouver Island & Mainland Inlets","Coho","CO","Nahwitti Lowland",912,"CO-15"
"East Vancouver Island & Mainland Inlets","Coho","CO","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords",909,"CO-12"
"East Vancouver Island & Mainland Inlets","Chum","CM","Bute Inlet",901,"CM-7"
"East Vancouver Island & Mainland Inlets","Chum","CM","Georgia Strait",904,"CM-4"
"East Vancouver Island & Mainland Inlets","Chum","CM","Howe Sound-Burrard Inlet",905,"CM-3"
"East Vancouver Island & Mainland Inlets","Chum","CM","Loughborough",902,"CM-6"
"East Vancouver Island & Mainland Inlets","Chum","CM","Northeast Vancouver Island",903,"CM-5"
"East Vancouver Island & Mainland Inlets","Chum","CM","Southern Coastal Streams",900,"CM-8"
"East Vancouver Island & Mainland Inlets","Chum","CM","Upper Knight",979,"CM-9"
"East Vancouver Island & Mainland Inlets","Steelhead","SH","East Vancouver Island Summer",985,""
"East Vancouver Island & Mainland Inlets","Steelhead","SH","East Vancouver Island Winter",981,""
"East Vancouver Island & Mainland Inlets","Steelhead","SH","South Coast Summer",983,""
"East Vancouver Island & Mainland Inlets","Steelhead","SH","South Coast Winter",980,""
"West Vancouver Island","Sockeye","SEL","Alice",945,"SEL-13-01"
"West Vancouver Island","Sockeye","SEL","Canoe Creek",946,"SEL-13-02"
"West Vancouver Island","Sockeye","SEL","Cecilia",947,"SEL-13-03"
"West Vancouver Island","Sockeye","SEL","Cheewat",948,"SEL-13-04"
"West Vancouver Island","Sockeye","SEL","Clayoquot",949,"SEL-13-05"
"West Vancouver Island","Sockeye","SEL","Deserted",950,"SEL-13-06"
"West Vancouver Island","Sockeye","SEL","Fairy",951,"SEL-13-07"
"West Vancouver Island","Sockeye","SEL","Great Central",952,"SEL-13-08"
"West Vancouver Island","Sockeye","SEL","Hesquiat",954,"SEL-13-10"
"West Vancouver Island","Sockeye","SEL","Hobiton",955,"SEL-13-11"
"West Vancouver Island","Sockeye","SEL","Hucuktlis",953,"SEL-13-09"
"West Vancouver Island","Sockeye","SEL","Jansen",956,"SEL-13-12"
"West Vancouver Island","Sockeye","SEL","Kanim",957,"SEL-13-13"
"West Vancouver Island","Sockeye","SEL","Kennedy",958,"SEL-13-14"
"West Vancouver Island","Sockeye","SEL","Maggie",959,"SEL-13-15"
"West Vancouver Island","Sockeye","SEL","Megin",960,"SEL-13-16"
"West Vancouver Island","Sockeye","SEL","Muchalat",961,"SEL-13-17"
"West Vancouver Island","Sockeye","SEL","Muriel",962,"SEL-13-18"
"West Vancouver Island","Sockeye","SEL","Nitinat",963,"SEL-13-19"
"West Vancouver Island","Sockeye","SEL","O'Connell",964,"SEL-13-20"
"West Vancouver Island","Sockeye","SEL","Park River",966,"SEL-13-22"
"West Vancouver Island","Sockeye","SEL","Power",967,"SEL-13-23"
"West Vancouver Island","Sockeye","SEL","Sproat",969,"SEL-13-25"
"West Vancouver Island","Sockeye","SEL","William-Brink",970,"SEL-13-26"
"West Vancouver Island","Sockeye","SER","NW Vancouver Island (river-type)",974,"SER-11"
"West Vancouver Island","Sockeye","SER","West Vancouver Island (river-type)",972,"SER-10"
"West Vancouver Island","Pink","PKO","West Vancouver Island (odd)",925,"PKO-6"
"West Vancouver Island","Pink","PKE","Northwest Vancouver Island (even)",919,"PKE-3"
"West Vancouver Island","Pink","PKE","West Vancouver Island (even)",918,"PKE-2"
"West Vancouver Island","Chinook","CK","West Vancouver Island-South (Fall x-1)",328,"CK-31"
"West Vancouver Island","Chinook","CK","West Vancouver Island-Nootka and Kyuquot (Fall x-1)",329,"CK-32"
"West Vancouver Island","Chinook","CK","West Vancouver Island-North (Fall x-1)",330,"CK-33"
"West Vancouver Island","Coho","CO","Clayoquot",915,"CO-18"
"West Vancouver Island","Coho","CO","Juan de Fuca-Pachena",913,"CO-16"
"West Vancouver Island","Coho","CO","West Vancouver Island",914,"CO-17"
"West Vancouver Island","Chum","CM","Northwest Vancouver Island",977,"CM-11"
"West Vancouver Island","Chum","CM","Southwest & West Vancouver Island",978,"CM-10"
"West Vancouver Island","Steelhead","SH","West Vancouver Island Summer",984,""
"West Vancouver Island","Steelhead","SH","West Vancouver Island Winter",982,""
